subject,predicate,object,chunk_id,doc_name
machine\ learning,co-occurs with,nlp,0,sample.txt
machine\ learning,co-occurs with,large\ language\ models,0,sample.txt
machine\ learning,co-occurs with,llms,0,sample.txt
machine\ learning,co-occurs with,transformers,0,sample.txt
machine\ learning,co-occurs with,reinforcement\ learning,0,sample.txt
machine\ learning,co-occurs with,computer\ vision,0,sample.txt
machine\ learning,co-occurs with,knowledge\ graphs,0,sample.txt
machine\ learning,co-occurs with,ontologies,0,sample.txt
machine\ learning,co-occurs with,embeddings,0,sample.txt
machine\ learning,co-occurs with,gradients,0,sample.txt
machine\ learning,co-occurs with,descent,0,sample.txt
machine\ learning,co-occurs with,optimization,0,sample.txt
machine\ learning,co-occurs with,algorithm,0,sample.txt
machine\ learning,co-occurs with,backpropagation,0,sample.txt
machine\ learning,co-occurs with,transfer\ learning,0,sample.txt
subset,co-occurs with,deep\ learning,0,sample.txt
subset,co-occurs with,neural\ networks,0,sample.txt
subset,co-occurs with,nodes,0,sample.txt
subset,co-occurs with,natural\ language\ processing,0,sample.txt
subset,co-occurs with,nlp,0,sample.txt
subset,co-occurs with,large\ language\ models,0,sample.txt
subset,co-occurs with,llms,0,sample.txt
subset,co-occurs with,transformers,0,sample.txt
subset,co-occurs with,reinforcement\ learning,0,sample.txt
subset,co-occurs with,computer\ vision,0,sample.txt
subset,co-occurs with,knowledge\ graphs,0,sample.txt
subset,co-occurs with,ontologies,0,sample.txt
subset,co-occurs with,embeddings,0,sample.txt
subset,co-occurs with,gradients,0,sample.txt
subset,co-occurs with,descent,0,sample.txt
subset,co-occurs with,optimization,0,sample.txt
subset,co-occurs with,algorithm,0,sample.txt
subset,co-occurs with,backpropagation,0,sample.txt
subset,co-occurs with,transfer\ learning,0,sample.txt
deep\ learning,co-occurs with,neural\ networks,0,sample.txt
deep\ learning,co-occurs with,nodes,0,sample.txt
deep\ learning,co-occurs with,natural\ language\ processing,0,sample.txt
deep\ learning,co-occurs with,nlp,0,sample.txt
deep\ learning,co-occurs with,large\ language\ models,0,sample.txt
deep\ learning,co-occurs with,llms,0,sample.txt
deep\ learning,co-occurs with,transformers,0,sample.txt
deep\ learning,co-occurs with,reinforcement\ learning,0,sample.txt
deep\ learning,co-occurs with,computer\ vision,0,sample.txt
deep\ learning,co-occurs with,knowledge\ graphs,0,sample.txt
deep\ learning,co-occurs with,ontologies,0,sample.txt
deep\ learning,co-occurs with,embeddings,0,sample.txt
deep\ learning,co-occurs with,gradients,0,sample.txt
deep\ learning,co-occurs with,descent,0,sample.txt
deep\ learning,co-occurs with,optimization,0,sample.txt
deep\ learning,co-occurs with,algorithm,0,sample.txt
deep\ learning,co-occurs with,backpropagation,0,sample.txt
deep\ learning,co-occurs with,transfer\ learning,0,sample.txt
neural\ networks,co-occurs with,nodes,0,sample.txt
neural\ networks,co-occurs with,natural\ language\ processing,0,sample.txt
neural\ networks,co-occurs with,nlp,0,sample.txt
neural\ networks,co-occurs with,large\ language\ models,0,sample.txt
neural\ networks,co-occurs with,llms,0,sample.txt
neural\ networks,co-occurs with,transformers,0,sample.txt
neural\ networks,co-occurs with,reinforcement\ learning,0,sample.txt
neural\ networks,co-occurs with,computer\ vision,0,sample.txt
neural\ networks,co-occurs with,knowledge\ graphs,0,sample.txt
neural\ networks,co-occurs with,ontologies,0,sample.txt
neural\ networks,co-occurs with,embeddings,0,sample.txt
neural\ networks,co-occurs with,gradients,0,sample.txt
neural\ networks,co-occurs with,descent,0,sample.txt
neural\ networks,co-occurs with,optimization,0,sample.txt
neural\ networks,co-occurs with,algorithm,0,sample.txt
neural\ networks,co-occurs with,backpropagation,0,sample.txt
neural\ networks,co-occurs with,transfer\ learning,0,sample.txt
nodes,co-occurs with,natural\ language\ processing,0,sample.txt
nodes,co-occurs with,nlp,0,sample.txt
nodes,co-occurs with,large\ language\ models,0,sample.txt
nodes,co-occurs with,llms,0,sample.txt
nodes,co-occurs with,transformers,0,sample.txt
nodes,co-occurs with,reinforcement\ learning,0,sample.txt
nodes,co-occurs with,computer\ vision,0,sample.txt
nodes,co-occurs with,knowledge\ graphs,0,sample.txt
nodes,co-occurs with,ontologies,0,sample.txt
nodes,co-occurs with,embeddings,0,sample.txt
nodes,co-occurs with,gradients,0,sample.txt
nodes,co-occurs with,descent,0,sample.txt
nodes,co-occurs with,optimization,0,sample.txt
nodes,co-occurs with,algorithm,0,sample.txt
nodes,co-occurs with,backpropagation,0,sample.txt
nodes,co-occurs with,transfer\ learning,0,sample.txt
natural\ language\ processing,co-occurs with,nlp,0,sample.txt
natural\ language\ processing,co-occurs with,large\ language\ models,0,sample.txt
natural\ language\ processing,co-occurs with,llms,0,sample.txt
natural\ language\ processing,co-occurs with,transformers,0,sample.txt
natural\ language\ processing,co-occurs with,reinforcement\ learning,0,sample.txt
natural\ language\ processing,co-occurs with,computer\ vision,0,sample.txt
natural\ language\ processing,co-occurs with,knowledge\ graphs,0,sample.txt
natural\ language\ processing,co-occurs with,ontologies,0,sample.txt
natural\ language\ processing,co-occurs with,embeddings,0,sample.txt
natural\ language\ processing,co-occurs with,gradients,0,sample.txt
natural\ language\ processing,co-occurs with,descent,0,sample.txt
natural\ language\ processing,co-occurs with,optimization,0,sample.txt
natural\ language\ processing,co-occurs with,algorithm,0,sample.txt
natural\ language\ processing,co-occurs with,backpropagation,0,sample.txt
natural\ language\ processing,co-occurs with,transfer\ learning,0,sample.txt
nlp,co-occurs with,large\ language\ models,0,sample.txt
nlp,co-occurs with,llms,0,sample.txt
nlp,co-occurs with,transformers,0,sample.txt
nlp,co-occurs with,reinforcement\ learning,0,sample.txt
nlp,co-occurs with,computer\ vision,0,sample.txt
nlp,co-occurs with,knowledge\ graphs,0,sample.txt
nlp,co-occurs with,ontologies,0,sample.txt
nlp,co-occurs with,embeddings,0,sample.txt
nlp,co-occurs with,gradients,0,sample.txt
nlp,co-occurs with,descent,0,sample.txt
nlp,co-occurs with,optimization,0,sample.txt
nlp,co-occurs with,algorithm,0,sample.txt
nlp,co-occurs with,backpropagation,0,sample.txt
nlp,co-occurs with,transfer\ learning,0,sample.txt
large\ language\ models,co-occurs with,llms,0,sample.txt
large\ language\ models,co-occurs with,transformers,0,sample.txt
large\ language\ models,co-occurs with,reinforcement\ learning,0,sample.txt
large\ language\ models,co-occurs with,computer\ vision,0,sample.txt
large\ language\ models,co-occurs with,knowledge\ graphs,0,sample.txt
large\ language\ models,co-occurs with,ontologies,0,sample.txt
large\ language\ models,co-occurs with,embeddings,0,sample.txt
large\ language\ models,co-occurs with,gradients,0,sample.txt
large\ language\ models,co-occurs with,descent,0,sample.txt
large\ language\ models,co-occurs with,optimization,0,sample.txt
large\ language\ models,co-occurs with,algorithm,0,sample.txt
large\ language\ models,co-occurs with,backpropagation,0,sample.txt
large\ language\ models,co-occurs with,transfer\ learning,0,sample.txt
llms,co-occurs with,transformers,0,sample.txt
llms,co-occurs with,reinforcement\ learning,0,sample.txt
llms,co-occurs with,computer\ vision,0,sample.txt
llms,co-occurs with,knowledge\ graphs,0,sample.txt
llms,co-occurs with,ontologies,0,sample.txt
llms,co-occurs with,embeddings,0,sample.txt
llms,co-occurs with,gradients,0,sample.txt
llms,co-occurs with,descent,0,sample.txt
llms,co-occurs with,optimization,0,sample.txt
llms,co-occurs with,algorithm,0,sample.txt
llms,co-occurs with,backpropagation,0,sample.txt
llms,co-occurs with,transfer\ learning,0,sample.txt
transformers,co-occurs with,reinforcement\ learning,0,sample.txt
transformers,co-occurs with,computer\ vision,0,sample.txt
transformers,co-occurs with,knowledge\ graphs,0,sample.txt
transformers,co-occurs with,ontologies,0,sample.txt
transformers,co-occurs with,embeddings,0,sample.txt
transformers,co-occurs with,gradients,0,sample.txt
transformers,co-occurs with,descent,0,sample.txt
transformers,co-occurs with,optimization,0,sample.txt
transformers,co-occurs with,algorithm,0,sample.txt
transformers,co-occurs with,backpropagation,0,sample.txt
transformers,co-occurs with,transfer\ learning,0,sample.txt
reinforcement\ learning,co-occurs with,computer\ vision,0,sample.txt
reinforcement\ learning,co-occurs with,knowledge\ graphs,0,sample.txt
reinforcement\ learning,co-occurs with,ontologies,0,sample.txt
reinforcement\ learning,co-occurs with,embeddings,0,sample.txt
reinforcement\ learning,co-occurs with,gradients,0,sample.txt
reinforcement\ learning,co-occurs with,descent,0,sample.txt
reinforcement\ learning,co-occurs with,optimization,0,sample.txt
reinforcement\ learning,co-occurs with,algorithm,0,sample.txt
reinforcement\ learning,co-occurs with,backpropagation,0,sample.txt
reinforcement\ learning,co-occurs with,transfer\ learning,0,sample.txt
computer\ vision,co-occurs with,knowledge\ graphs,0,sample.txt
computer\ vision,co-occurs with,ontologies,0,sample.txt
computer\ vision,co-occurs with,embeddings,0,sample.txt
computer\ vision,co-occurs with,gradients,0,sample.txt
computer\ vision,co-occurs with,descent,0,sample.txt
computer\ vision,co-occurs with,optimization,0,sample.txt
computer\ vision,co-occurs with,algorithm,0,sample.txt
computer\ vision,co-occurs with,backpropagation,0,sample.txt
computer\ vision,co-occurs with,transfer\ learning,0,sample.txt
knowledge\ graphs,co-occurs with,ontologies,0,sample.txt
knowledge\ graphs,co-occurs with,embeddings,0,sample.txt
knowledge\ graphs,co-occurs with,gradients,0,sample.txt
knowledge\ graphs,co-occurs with,descent,0,sample.txt
knowledge\ graphs,co-occurs with,optimization,0,sample.txt
knowledge\ graphs,co-occurs with,algorithm,0,sample.txt
knowledge\ graphs,co-occurs with,backpropagation,0,sample.txt
knowledge\ graphs,co-occurs with,transfer\ learning,0,sample.txt
ontologies,co-occurs with,embeddings,0,sample.txt
ontologies,co-occurs with,gradients,0,sample.txt
ontologies,co-occurs with,descent,0,sample.txt
ontologies,co-occurs with,optimization,0,sample.txt
ontologies,co-occurs with,algorithm,0,sample.txt
ontologies,co-occurs with,backpropagation,0,sample.txt
ontologies,co-occurs with,transfer\ learning,0,sample.txt
embeddings,co-occurs with,gradients,0,sample.txt
embeddings,co-occurs with,descent,0,sample.txt
embeddings,co-occurs with,optimization,0,sample.txt
embeddings,co-occurs with,algorithm,0,sample.txt
embeddings,co-occurs with,backpropagation,0,sample.txt
embeddings,co-occurs with,transfer\ learning,0,sample.txt
gradients,co-occurs with,descent,0,sample.txt
gradients,co-occurs with,optimization,0,sample.txt
gradients,co-occurs with,algorithm,0,sample.txt
gradients,co-occurs with,backpropagation,0,sample.txt
gradients,co-occurs with,transfer\ learning,0,sample.txt
descent,co-occurs with,optimization,0,sample.txt
descent,co-occurs with,algorithm,0,sample.txt
descent,co-occurs with,backpropagation,0,sample.txt
descent,co-occurs with,transfer\ learning,0,sample.txt
optimization,co-occurs with,algorithm,0,sample.txt
optimization,co-occurs with,backpropagation,0,sample.txt
optimization,co-occurs with,transfer\ learning,0,sample.txt
algorithm,co-occurs with,backpropagation,0,sample.txt
algorithm,co-occurs with,transfer\ learning,0,sample.txt
backpropagation,co-occurs with,transfer\ learning,0,sample.txt
backpropagation,is_a_type_of,algorithm,1,sample.txt
backpropagation,is_used_in,computing_gradients,1,sample.txt
backpropagation,is_used_in,neural_networks,1,sample.txt
neural_networks,uses,backpropagation,1,sample.txt
transfer_learning,involves,applying_knowledge,1,sample.txt
transfer_learning,applies_to,one_task,1,sample.txt
transfer_learning,applies_to,different_task,1,sample.txt
transfer_learning,relates_to,related_task,1,sample.txt
backpropagation,co-occurs with,algorithm,1,sample.txt
backpropagation,co-occurs with,gradients,1,sample.txt
backpropagation,co-occurs with,neural networks,1,sample.txt
backpropagation,co-occurs with,transfer,1,sample.txt
backpropagation,co-occurs with,learning,1,sample.txt
backpropagation,co-occurs with,knowledge,1,sample.txt
backpropagation,co-occurs with,task,1,sample.txt
algorithm,co-occurs with,gradients,1,sample.txt
algorithm,co-occurs with,neural networks,1,sample.txt
algorithm,co-occurs with,transfer,1,sample.txt
algorithm,co-occurs with,learning,1,sample.txt
algorithm,co-occurs with,knowledge,1,sample.txt
algorithm,co-occurs with,task,1,sample.txt
gradients,co-occurs with,neural networks,1,sample.txt
gradients,co-occurs with,transfer,1,sample.txt
gradients,co-occurs with,learning,1,sample.txt
gradients,co-occurs with,knowledge,1,sample.txt
gradients,co-occurs with,task,1,sample.txt
neural networks,co-occurs with,transfer,1,sample.txt
neural networks,co-occurs with,learning,1,sample.txt
neural networks,co-occurs with,knowledge,1,sample.txt
neural networks,co-occurs with,task,1,sample.txt
transfer,co-occurs with,learning,1,sample.txt
transfer,co-occurs with,knowledge,1,sample.txt
transfer,co-occurs with,task,1,sample.txt
learning,co-occurs with,knowledge,1,sample.txt
learning,co-occurs with,task,1,sample.txt
knowledge,co-occurs with,task,1,sample.txt
transfer,involves,knowledge,2,sample.txt
knowledge,is gained from,one task,2,sample.txt
one task,is applied to,a different task,2,sample.txt
different task,is related to,a related task,2,sample.txt
transfer,co-occurs with,learning,2,sample.txt
transfer,co-occurs with,knowledge,2,sample.txt
transfer,co-occurs with,task,2,sample.txt
transfer,co-occurs with,application,2,sample.txt
transfer,co-occurs with,model,2,sample.txt
transfer,co-occurs with,data,2,sample.txt
transfer,co-occurs with,machine,2,sample.txt
transfer,co-occurs with,related,2,sample.txt
learning,co-occurs with,knowledge,2,sample.txt
learning,co-occurs with,task,2,sample.txt
learning,co-occurs with,application,2,sample.txt
learning,co-occurs with,model,2,sample.txt
learning,co-occurs with,data,2,sample.txt
learning,co-occurs with,machine,2,sample.txt
learning,co-occurs with,related,2,sample.txt
knowledge,co-occurs with,task,2,sample.txt
knowledge,co-occurs with,application,2,sample.txt
knowledge,co-occurs with,model,2,sample.txt
knowledge,co-occurs with,data,2,sample.txt
knowledge,co-occurs with,machine,2,sample.txt
knowledge,co-occurs with,related,2,sample.txt
task,co-occurs with,application,2,sample.txt
task,co-occurs with,model,2,sample.txt
task,co-occurs with,data,2,sample.txt
task,co-occurs with,machine,2,sample.txt
task,co-occurs with,related,2,sample.txt
application,co-occurs with,model,2,sample.txt
application,co-occurs with,data,2,sample.txt
application,co-occurs with,machine,2,sample.txt
application,co-occurs with,related,2,sample.txt
model,co-occurs with,data,2,sample.txt
model,co-occurs with,machine,2,sample.txt
model,co-occurs with,related,2,sample.txt
data,co-occurs with,machine,2,sample.txt
data,co-occurs with,related,2,sample.txt
machine,co-occurs with,related,2,sample.txt
